Id, X, Y, Dependency, Repeat, Duration
0 7 11 0 6 45
1 39 5 0 8 112
2 44 2 0 7 114
3 37 22 14 2 78
4 48 19 0 5 88
5 34 5 0 9 80
6 38 11 0 4 32
7 3 11 0 8 17
8 19 10 0 4 88
9 29 22 76 1 56
10 22 6 0 8 42
11 13 13 96 9 59
12 33 8 0 5 44
13 13 21 0 9 97
14 2 3 0 4 119
15 9 23 0 2 44
16 14 13 0 5 60
17 39 27 0 3 106
18 2 10 0 9 42
19 14 18 0 4 100
20 28 20 0 2 101
21 19 18 0 6 47
22 6 15 0 1 85
23 42 22 0 8 109
24 40 14 0 9 28
25 45 11 0 9 110
26 50 4 20 7 107
27 39 26 0 9 80
28 6 22 0 9 109
29 28 12 0 2 95
30 22 13 0 7 112
31 44 9 0 8 111
32 30 8 0 8 113
33 2 15 0 9 41
34 37 9 0 5 49
35 16 3 0 5 27
36 33 9 0 8 87
37 5 27 0 1 48
38 36 2 0 8 86
39 28 4 81 10 63
40 33 24 0 8 59
41 6 18 0 5 83
42 7 25 50 2 13
43 41 20 0 4 31
44 46 6 0 9 33
45 33 5 0 7 38
46 30 26 0 5 40
47 41 26 0 8 97
48 23 11 0 6 99
49 18 21 0 3 26
50 43 13 0 1 59
51 11 5 0 6 29
52 17 20 0 9 59
53 45 10 0 4 18
54 28 13 0 9 95
55 9 6 0 10 102
56 27 8 0 2 111
57 47 17 20 9 77
58 49 27 0 6 25
59 48 10 0 10 91
60 34 12 0 7 110
61 5 25 0 7 14
62 32 17 0 6 48
63 14 15 0 3 106
64 19 9 0 6 106
65 20 12 50 4 91
66 38 23 97 1 53
67 6 21 0 6 80
68 15 14 0 9 50
69 11 11 0 10 69
70 40 11 0 8 26
71 2 25 0 2 103
72 44 27 0 9 107
73 40 7 0 1 100
74 25 15 0 4 98
75 4 22 0 6 28
76 13 10 0 3 40
77 19 19 0 6 22
78 43 3 0 7 116
79 29 13 60 3 88
80 37 18 0 9 66
81 14 22 0 7 112
82 13 2 92 7 60
83 24 15 0 3 81
84 31 12 0 5 113
85 28 24 0 10 39
86 17 26 0 10 41
87 13 19 0 3 92
88 38 17 11 4 49
89 6 8 0 2 100
90 5 26 0 10 78
91 50 23 42 9 40
92 6 13 0 10 71
93 47 23 0 9 77
94 17 13 0 2 120
95 40 23 28 7 48
96 3 2 0 10 15
97 32 12 0 5 115
98 35 3 0 5 74
99 34 14 0 5 111

