Id, X, Y, Dependency, Repeat, Duration
0 13 2 0 1 120
1 14 26 0 5 19
2 50 18 0 5 101
3 44 19 0 2 28
4 25 26 0 2 101
5 7 13 0 4 93
6 8 9 0 1 86
7 38 18 0 1 15
8 15 22 0 1 103
9 29 12 0 5 55
10 49 19 0 3 66
11 6 10 0 4 56
12 17 16 0 3 40
13 11 22 0 1 113
14 33 5 0 4 14
15 19 18 0 1 11
16 33 9 0 5 58
17 26 25 0 5 14
18 46 22 0 1 86
19 29 15 0 3 116
20 35 22 0 3 60
21 44 22 0 2 74
22 36 19 0 5 94
23 7 4 0 3 113
24 3 9 0 3 87
25 49 14 0 3 32
26 24 9 0 5 107
27 33 8 0 4 120
28 8 22 0 3 50
29 49 15 0 2 45
30 43 26 0 1 65
31 35 16 0 1 66
32 16 2 0 3 37
33 22 25 0 1 92
34 10 18 37 2 19
35 35 11 0 4 76
36 45 6 0 1 74
37 7 14 0 5 24
38 27 23 0 3 107
39 14 15 0 3 61
40 18 14 32 2 90
41 31 10 0 2 47
42 22 13 0 1 28
43 43 22 0 2 100
44 37 23 0 3 17
45 48 19 0 1 94
46 24 12 0 5 75
47 32 18 0 1 42
48 37 2 0 3 110
49 29 23 0 2 22

