Id, X, Y, Dependency, Repeat, Duration
0 34 25 0 5 87
1 42 20 0 9 68
2 33 14 114 1 71
3 44 8 78 4 53
4 45 20 8 3 108
5 25 6 0 1 76
6 3 23 0 9 111
7 2 18 0 8 120
8 19 6 0 9 43
9 3 10 0 7 55
10 17 17 0 4 30
11 9 11 0 5 110
12 34 22 1 8 46
13 44 22 24 6 15
14 33 12 47 9 43
15 41 15 0 7 58
16 35 21 0 7 86
17 17 21 0 2 113
18 37 14 0 8 81
19 18 12 0 6 58
20 20 22 60 5 85
21 10 2 0 7 13
22 49 22 0 3 71
23 32 5 0 6 86
24 45 21 0 4 83
25 8 2 0 5 104
26 44 5 0 4 18
27 22 25 0 9 30
28 27 23 0 9 88
29 21 16 0 2 26
30 45 11 68 1 28
31 12 22 0 3 30
32 17 27 0 4 25
33 46 10 0 8 50
34 44 18 0 3 93
35 24 8 0 7 61
36 10 25 109 10 85
37 10 17 0 9 97
38 13 10 0 7 22
39 34 13 0 5 109
40 8 23 0 8 94
41 9 25 0 4 26
42 23 8 0 3 58
43 42 14 97 5 64
44 34 16 0 9 83
45 21 22 0 10 34
46 26 4 44 7 46
47 30 22 0 8 97
48 48 7 0 3 10
49 17 16 0 7 63
50 44 4 0 2 113
51 41 24 0 2 12
52 15 24 0 9 26
53 24 10 0 7 113
54 47 25 0 4 23
55 37 25 0 4 44
56 50 23 0 2 111
57 24 23 0 8 27
58 13 18 0 9 51
59 2 21 0 4 89
60 38 25 135 6 72
61 43 25 0 8 27
62 32 4 0 4 12
63 14 14 0 3 10
64 7 21 0 5 10
65 23 26 0 3 111
66 18 24 80 7 52
67 35 14 0 10 111
68 15 14 0 7 112
69 40 23 0 9 77
70 7 9 0 7 15
71 18 13 0 10 86
72 33 13 0 3 116
73 48 21 0 9 32
74 23 25 47 10 99
75 14 13 0 7 24
76 30 18 0 6 71
77 19 14 93 10 90
78 42 25 0 3 37
79 24 21 0 10 98
80 6 7 0 5 32
81 36 3 70 1 105
82 39 27 0 2 97
83 37 3 0 2 74
84 28 16 0 6 31
85 31 22 0 1 41
86 45 23 8 3 26
87 22 15 0 10 104
88 32 6 0 2 86
89 42 11 0 5 101
90 25 21 0 3 33
91 37 9 0 4 82
92 36 14 0 3 108
93 41 11 0 6 29
94 20 17 145 10 10
95 17 4 0 4 92
96 46 25 0 3 52
97 21 19 0 10 17
98 3 4 0 8 34
99 15 18 0 9 92
100 3 27 55 7 70
101 17 6 0 3 27
102 38 18 0 7 39
103 11 11 0 1 104
104 50 3 0 3 22
105 30 8 0 9 84
106 50 7 0 2 40
107 33 6 39 2 34
108 24 16 0 3 38
109 38 6 23 7 101
110 24 9 0 4 105
111 50 14 90 6 120
112 50 2 0 4 53
113 17 13 0 7 44
114 37 5 0 10 10
115 41 6 0 9 30
116 20 13 0 1 52
117 35 22 0 6 13
118 48 14 0 6 116
119 42 17 134 4 86
120 26 24 73 3 66
121 4 18 0 3 108
122 14 21 0 7 78
123 28 5 0 8 12
124 24 27 0 5 89
125 33 22 71 3 113
126 27 8 0 5 97
127 36 20 0 7 92
128 11 6 0 1 28
129 17 10 0 2 83
130 7 3 0 6 34
131 6 2 0 10 31
132 48 4 125 6 99
133 19 23 0 9 68
134 41 10 0 6 41
135 38 3 129 2 82
136 37 10 0 10 12
137 6 10 0 7 81
138 43 21 13 3 75
139 31 9 0 8 87
140 15 10 0 7 43
141 37 22 19 5 11
142 10 3 11 9 33
143 39 23 93 10 16
144 35 15 0 6 69
145 31 8 0 8 74
146 3 2 0 9 102
147 34 3 143 8 105
148 36 16 0 4 115
149 47 9 145 2 62

